County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
El Paso,2022,31-40 (Established Career),15546,47.8,70.7,10995,4551,54.9,30.5
El Paso,2023,31-40 (Established Career),20105,56.2,69.7,14005,6100,58.9,49.9
El Paso,2012,41-50 (Family / Peak Career),11161,32.7,100.0,11161,0,32.7,
El Paso,2013,41-50 (Family / Peak Career),9151,35.8,100.0,9151,0,35.8,
El Paso,2014,41-50 (Family / Peak Career),10545,25.3,100.0,10545,0,25.3,
El Paso,2015,41-50 (Family / Peak Career),10619,26.3,100.0,10619,0,26.3,
El Paso,2016,41-50 (Family / Peak Career),10518,33.9,100.0,10518,0,33.9,
El Paso,2017,41-50 (Family / Peak Career),12762,30.7,100.0,12762,0,30.7,
El Paso,2018,41-50 (Family / Peak Career),14859,23.9,100.0,14859,0,23.9,
El Paso,2019,41-50 (Family / Peak Career),10924,44.2,100.0,10924,0,44.2,
El Paso,2021,41-50 (Family / Peak Career),8809,45.7,64.5,5682,3127,60.3,19.3
El Paso,2022,41-50 (Family / Peak Career),10398,40.7,72.0,7484,2914,53.7,7.4
El Paso,2023,41-50 (Family / Peak Career),9533,33.7,66.1,6305,3228,41.6,18.2
El Paso,2012,51-64 (Pre-Retirement),6892,37.9,100.0,6892,0,37.9,
El Paso,2013,51-64 (Pre-Retirement),7895,32.7,100.0,7895,0,32.7,
El Paso,2014,51-64 (Pre-Retirement),8851,21.4,100.0,8851,0,21.4,
El Paso,2015,51-64 (Pre-Retirement),11399,25.4,100.0,11399,0,25.4,
El Paso,2016,51-64 (Pre-Retirement),9457,34.6,100.0,9457,0,34.6,
El Paso,2017,51-64 (Pre-Retirement),10728,42.3,100.0,10728,0,42.3,
El Paso,2018,51-64 (Pre-Retirement),10253,24.5,100.0,10253,0,24.5,
El Paso,2019,51-64 (Pre-Retirement),9208,23.8,100.0,9208,0,23.8,
El Paso,2021,51-64 (Pre-Retirement),9716,42.8,77.9,7567,2149,48.9,21.4
El Paso,2022,51-64 (Pre-Retirement),6393,34.5,73.3,4684,1709,32.8,39.1
El Paso,2023,51-64 (Pre-Retirement),7873,40.5,56.5,4445,3428,41.9,38.6
El Paso,2012,65+ (Retirement),4790,9.1,100.0,4790,0,9.1,
El Paso,2013,65+ (Retirement),3085,21.2,100.0,3085,0,21.2,
El Paso,2014,65+ (Retirement),4706,21.5,100.0,4706,0,21.5,
El Paso,2015,65+ (Retirement),5294,27.4,100.0,5294,0,27.4,
El Paso,2016,65+ (Retirement),5521,21.8,100.0,5521,0,21.8,
El Paso,2017,65+ (Retirement),6123,21.6,100.0,6123,0,21.6,
El Paso,2018,65+ (Retirement),5989,26.2,100.0,5989,0,26.2,
El Paso,2019,65+ (Retirement),5918,20.1,100.0,5918,0,20.1,
El Paso,2021,65+ (Retirement),7347,29.5,65.4,4806,2541,35.4,18.4
El Paso,2022,65+ (Retirement),4857,21.5,78.7,3822,1035,22.4,18.5
El Paso,2023,65+ (Retirement),5287,29.2,66.6,3523,1764,32.1,23.4
Harris (Houston),2012,18-24 (College / Entry),116725,55.3,100.0,116725,0,55.3,
Harris (Houston),2013,18-24 (College / Entry),113530,51.2,100.0,113530,0,51.2,
Harris (Houston),2014,18-24 (College / Entry),119858,50.7,100.0,119858,0,50.7,
Harris (Houston),2015,18-24 (College / Entry),114408,53.0,100.0,114408,0,53.0,
Harris (Houston),2016,18-24 (College / Entry),110371,55.0,100.0,110371,0,55.0,
Harris (Houston),2017,18-24 (College / Entry),105292,57.4,100.0,105292,0,57.4,
Harris (Houston),2018,18-24 (College / Entry),105490,58.3,100.0,105490,0,58.3,
Harris (Houston),2019,18-24 (College / Entry),94001,58.7,100.0,94001,0,58.7,
Harris (Houston),2021,18-24 (College / Entry),110040,56.8,42.8,47124,62916,52.4,60.0
Harris (Houston),2022,18-24 (College / Entry),109397,55.0,39.8,43583,65814,54.3,55.4
Harris (Houston),2023,18-24 (College / Entry),113637,53.2,41.2,46802,66835,48.8,56.3
Harris (Houston),2012,25-30 (Young Adults),129774,46.2,100.0,129774,0,46.2,
Harris (Houston),2013,25-30 (Young Adults),133951,43.2,100.0,133951,0,43.2,
Harris (Houston),2014,25-30 (Young Adults),131586,43.7,100.0,131586,0,43.7,
Harris (Houston),2015,25-30 (Young Adults),135998,43.3,100.0,135998,0,43.3,
Harris (Houston),2016,25-30 (Young Adults),130461,43.4,100.0,130461,0,43.4,
Harris (Houston),2017,25-30 (Young Adults),128774,47.2,100.0,128774,0,47.2,
Harris (Houston),2018,25-30 (Young Adults),118895,44.6,100.0,118895,0,44.6,
Harris (Houston),2019,25-30 (Young Adults),123509,51.2,100.0,123509,0,51.2,
Harris (Houston),2021,25-30 (Young Adults),124085,42.4,36.3,45016,79069,34.2,47.1
Harris (Houston),2022,25-30 (Young Adults),118819,41.1,37.7,44738,74081,37.6,43.3
Harris (Houston),2023,25-30 (Young Adults),123430,44.8,37.3,46055,77375,42.4,46.2
Harris (Houston),2012,31-40 (Established Career),136654,40.7,100.0,136654,0,40.7,
Harris (Houston),2013,31-40 (Established Career),129194,38.5,100.0,129194,0,38.5,
Harris (Houston),2014,31-40 (Established Career),134330,36.4,100.0,134330,0,36.4,
Harris (Houston),2015,31-40 (Established Career),130191,36.3,100.0,130191,0,36.3,
Harris (Houston),2016,31-40 (Established Career),133017,34.7,100.0,133017,0,34.7,
Harris (Houston),2017,31-40 (Established Career),137775,37.7,100.0,137775,0,37.7,
Harris (Houston),2018,31-40 (Established Career),129386,43.5,100.0,129386,0,43.5,
Harris (Houston),2019,31-40 (Established Career),136706,38.3,100.0,136706,0,38.3,
Harris (Houston),2021,31-40 (Established Career),135820,36.5,39.3,53347,82473,29.0,41.3
Harris (Houston),2022,31-40 (Established Career),125643,35.9,40.8,51213,74430,27.0,42.1
Harris (Houston),2023,31-40 (Established Career),133190,33.9,37.0,49297,83893,25.4,38.8
Harris (Houston),2012,41-50 (Family / Peak Career),76073,34.5,100.0,76073,0,34.5,
Harris (Houston),2013,41-50 (Family / Peak Career),81234,30.4,100.0,81234,0,30.4,
Harris (Houston),2014,41-50 (Family / Peak Career),78390,29.2,100.0,78390,0,29.2,
Harris (Houston),2015,41-50 (Family / Peak Career),76255,32.0,100.0,76255,0,32.0,
Harris (Houston),2016,41-50 (Family / Peak Career),80894,32.8,100.0,80894,0,32.8,
Harris (Houston),2017,41-50 (Family / Peak Career),83292,34.2,100.0,83292,0,34.2,
Harris (Houston),2018,41-50 (Family / Peak Career),72610,31.1,100.0,72610,0,31.1,
Harris (Houston),2019,41-50 (Family / Peak Career),67258,37.9,100.0,67258,0,37.9,
Harris (Houston),2021,41-50 (Family / Peak Career),61357,28.9,37.3,22894,38463,26.1,30.6
Harris (Houston),2022,41-50 (Family / Peak Career),72812,30.5,37.5,27309,45503,25.0,33.8
Harris (Houston),2023,41-50 (Family / Peak Career),76718,29.1,47.6,36544,40174,22.6,35.0
Harris (Houston),2012,51-64 (Pre-Retirement),63304,36.8,100.0,63304,0,36.8,
Harris (Houston),2013,51-64 (Pre-Retirement),62599,34.4,100.0,62599,0,34.4,
Harris (Houston),2014,51-64 (Pre-Retirement),68580,42.9,100.0,68580,0,42.9,
Harris (Houston),2015,51-64 (Pre-Retirement),67409,29.5,100.0,67409,0,29.5,
Harris (Houston),2016,51-64 (Pre-Retirement),65276,39.0,100.0,65276,0,39.0,
Harris (Houston),2017,51-64 (Pre-Retirement),73012,37.1,100.0,73012,0,37.1,
Harris (Houston),2018,51-64 (Pre-Retirement),62026,31.8,100.0,62026,0,31.8,
Harris (Houston),2019,51-64 (Pre-Retirement),62843,34.6,100.0,62843,0,34.6,
Harris (Houston),2021,51-64 (Pre-Retirement),61304,31.6,32.2,19754,41550,20.5,37.0
Harris (Houston),2022,51-64 (Pre-Retirement),58087,29.3,34.0,19758,38329,17.0,35.6
Harris (Houston),2023,51-64 (Pre-Retirement),60063,36.9,32.3,19424,40639,23.4,43.3
Harris (Houston),2012,65+ (Retirement),27654,40.7,100.0,27654,0,40.7,
Harris (Houston),2013,65+ (Retirement),27238,30.9,100.0,27238,0,30.9,
Harris (Houston),2014,65+ (Retirement),27027,36.9,100.0,27027,0,36.9,
Harris (Houston),2015,65+ (Retirement),28684,37.3,100.0,28684,0,37.3,
Harris (Houston),2016,65+ (Retirement),32143,33.0,100.0,32143,0,33.0,
Harris (Houston),2017,65+ (Retirement),30839,27.6,100.0,30839,0,27.6,
Harris (Houston),2018,65+ (Retirement),35085,36.6,100.0,35085,0,36.6,
Harris (Houston),2019,65+ (Retirement),29294,37.7,100.0,29294,0,37.7,
Harris (Houston),2021,65+ (Retirement),27932,35.1,22.1,6161,21771,30.6,36.4
Harris (Houston),2022,65+ (Retirement),38406,31.2,23.2,8921,29485,36.4,29.6
